source,target,interaction,scaffold,species,HH_type,genus,distance
EST1241108101S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4564.06783220039
EST1241108101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34562.4595419781
EST1241108101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,38152.3869121527
EST1241108101S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,37669.6755167999
EST1241108101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,35840.649702458
EST1241108101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,35840.5980325669
EST1241108101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,35561.6378123524
EST1241108101S1K,EST1358304101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,36028.5406766804
EST1241108101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,317157.393702773
EST1241108101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,317141.319321313
EST1242101101S1K,EST1256808101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,19219.5832151254
EST1242101101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,33908.6485906526
EST1242101101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,37176.5752792663
EST1242101101S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,36650.4535475239
EST1242101101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34762.319922137
EST1242101101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34477.5020542843
EST1242206101S1K,stools_11041101,strain_sharing,NZ_CP046307.1,Entc_gallinarum,Between,Entc,312971.58924634
EST1242206101S1K,stools_11045101,strain_sharing,NZ_CP046307.1,Entc_gallinarum,Between,Entc,312921.306713943
EST1242209101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,34338.3196411825
EST1242209101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,37623.0915465507
EST1242209101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,35212.535500977
EST1242209101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,35212.6508544936
EST1242209101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,313115.140912729
EST1242209101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,313098.915960414
EST1242805101S1K,stools_11110101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,314917.29268151
EST1247106101S1K,EST1254203101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,39988.0517351373
EST1247109101S1K,stools_11009101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,295993.605729096
EST1247109101S1K,stools_11009150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,295993.605729096
EST1247109101S1K,stools_11015101,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,295999.2668643
EST1247109101S1K,stools_11015501,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,295999.2668643
EST1247109101S1K,stools_11016150,strain_sharing,NZ_AP027299.1,Entc_hirae,Between,Entc,295956.112784772
EST1247211101S1K,EST1356602101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,8333.88665169343
EST1247211101S1K,stools_11055101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,303038.579991444
EST1247211101S1K,stools_12098150,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,298333.118718908
EST1350511101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4211.53669771744
EST1350511101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,3291.75445632831
EST1350511101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,3290.54630084976
EST1350511101S1K,EST1358304101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,3130.47839917377
EST1350511101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,299163.847376391
EST1350511101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,299149.994707501
EST1356601101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,2497.51439892284
EST1356601101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,2497.0500598359
EST1356601101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,2779.12148760528
EST1356601101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,295455.52789565
EST1356601101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,295441.835910841
